sex,age,country,edu.r,edu.m,edu.f,ses15,sex.orient,sex.orient.bin,names.bin,names.m,names.f,first.born,birth.order,no.children,rel.m,rel.f,rejection.m,rejection.f,overprotection.m,overprotection.f,emotional.m,emotional.f,money.m,money.f,time.m,time.f
0,33,1,4,3,4,3,1,0,0,0,0,0,2,2,7,5,9,9,19,19,19,22,5,5,5,4
0,38,1,4,4,4,3,1,0,0,0,0,0,3,4,7,6,7,8,19,20,23,23,4,4,3,3
0,37,1,4,4,3,3,1,0,0,0,0,0,2,2,7,7,7,9,13,13,15,13,4,4,4,4
0,44,1,4,3,4,3,1,0,0,0,0,1,1,2,5,5,14,12,20,15,13,9,2,2,4,4
0,23,1,3,4,4,4,2,0,0,0,0,0,2,2,7,7,8,10,21,23,17,11,4,4,4,1
0,22,1,3,4,4,4,2,0,0,0,0,0,2,2,6,6,9,9,21,16,22,20,4,4,4,3
0,19,1,1,4,4,4,5,1,0,0,0,1,1,3,5,3,12,18,18,15,12,11,4,4,3,3
0,31,1,4,3,3,3,1,0,0,0,0,1,1,4,4,4,17,17,28,20,12,12,3,3,4,2
0,31,1,4,4,4,4,1,0,0,0,0,0,2,2,7,5,7,9,15,17,20,12,4,4,4,3
0,30,1,4,4,4,3,2,0,0,0,0,0,3,3,6,6,13,9,18,14,17,14,4,3,4,2
0,39,1,4,3,3,2,1,0,0,0,0,0,4,4,4,4,25,25,15,15,6,6,2,2,1,1
0,26,1,3,3,1,4,1,0,0,0,0,1,1,2,6,4,15,9,21,11,15,13,3,3,4,1
0,40,1,4,3,2,3,2,0,0,0,0,1,1,2,5,2,16,23,23,18,11,6,2,2,2,1
0,50,1,4,3,3,2,1,0,1,1,0,1,1,3,6,6,19,16,21,21,10,9,2,2,1,1
0,55,1,4,3,4,4,1,0,1,0,1,1,1,2,5,5,22,11,28,30,15,19,4,4,4,3
0,62,1,3,1,2,3,1,0,0,0,0,0,2,2,4,5,15,12,21,24,9,14,2,2,2,3
0,24,1,3,4,4,4,1,0,0,0,0,1,1,5,6,6,11,11,30,30,22,22,4,4,4,4
0,32,1,4,4,2,3,1,0,0,0,0,1,1,1,2,7,27,8,27,12,6,17,3,2,3,2
0,24,1,3,2,2,3,1,0,0,0,0,1,1,2,3,7,13,10,18,18,13,16,4,4,4,3
0,27,1,4,4,4,4,1,0,0,0,0,0,2,2,6,4,9,11,15,14,12,6,4,2,3,4
0,31,1,4,2,2,3,1,0,0,0,0,0,2,3,7,7,9,9,24,23,22,22,4,4,4,4
0,59,1,4,3,3,2,1,0,0,0,0,1,1,1,7,6,9,8,16,13,22,18,4,4,4,3
0,29,1,1,3,3,3,2,0,0,0,0,1,1,2,4,5,16,12,18,22,9,10,5,2,3,3
0,30,1,3,3,1,2,1,0,0,0,0,1,1,4,6,4,13,9,24,11,11,6,4,2,3,1
0,49,1,4,4,3,3,1,0,0,0,0,0,2,2,5,6,13,13,19,20,11,12,4,4,3,2
0,23,1,4,3,2,3,1,0,0,0,0,0,2,2,7,6,7,7,22,17,20,20,4,4,5,4
0,40,1,3,3,3,3,1,0,1,1,0,0,2,2,6,4,10,10,12,22,23,20,4,4,4,3
0,20,1,3,4,4,4,2,0,0,0,0,1,1,3,7,7,9,9,16,15,18,18,4,4,4,3
0,33,1,4,2,2,5,2,0,1,1,0,1,1,3,2,4,28,19,24,21,6,10,2,2,1,1
0,34,1,4,4,4,4,1,0,0,0,0,0,3,4,7,6,8,8,27,28,22,22,4,4,5,3
0,27,1,4,3,3,3,1,0,0,0,0,1,1,2,7,7,8,7,20,15,22,20,4,4,5,5
0,22,1,3,4,4,3,1,0,0,0,0,1,1,2,7,7,8,7,19,14,24,23,5,5,4,4
0,26,1,4,3,1,5,1,0,0,0,0,0,4,4,3,4,9,9,16,12,19,14,5,2,2,1
0,25,1,4,3,4,2,3,0,0,0,0,0,2,3,6,3,9,16,16,18,24,14,4,3,5,2
0,26,1,4,4,4,3,1,0,0,0,0,1,1,3,3,5,11,9,16,14,22,22,5,5,4,3
0,35,1,4,2,2,3,2,0,0,0,0,1,1,2,6,2,11,19,18,18,15,8,3,2,2,1
0,23,1,4,4,4,3,2,0,0,0,0,0,5,5,7,7,13,7,25,15,20,18,4,4,3,3
0,27,1,4,3,2,3,1,0,0,0,0,1,1,2,6,6,11,10,26,23,22,22,4,4,4,3
0,28,1,4,3,4,3,2,0,0,0,0,0,2,3,5,5,16,19,20,15,19,15,4,3,3,3
0,43,1,4,2,4,1,2,0,0,0,0,1,1,2,5,5,8,7,12,14,17,17,4,4,2,2
0,25,1,4,3,3,4,3,0,0,0,0,0,3,3,3,4,10,10,10,12,12,13,4,4,2,3
